Nome,Cognome,Email,Telefono,Età,score,lavori_nel_calcio,che_ruolo_ricopri,iscrizione_corso,pc_windows_mac,telefono,importo_match_analyst,Calcio,Personale,Tecnologia,Economico
Sara,Esposito,saraesposito@yahoo.com,+393181920556,34,18,No,,Voglio certificarmi,No,Ho un cellulare android,10 euro,3,3,5,-2
Andrea,Colombo,andreacolombo@gmail.com,+393535695551,38,18,No,,Voglio certificarmi,Si,Ho un cellulare android,10 euro,2,2,5,2
Alessandro,Santoro,alessandrosantoro@gmail.com,+393151096555,50,20,No,,Voglio certificarmi,No,Ho un cellulare iphone,97 euro,3,1,5,-4
Francesco,Santoro,francescosantoro@outlook.com,+393836558324,49,11,No,,Voglio certificarmi,Si,Ho un cellulare android e pure un tablet o un ipad,"Non voglio spendere soldi, voglio tutto gratis!!!",2,3,5,-9
Luca,Bruno,lucabruno@gmail.com,+393412596064,30,12,No,,Voglio informazioni su chi è il match analyst e che lavoro fa,No,Ho un cellulare android e pure un tablet o un ipad,"Non voglio spendere soldi, voglio tutto gratis!!!",3,2,4,-4
Alessandro,Verdi,alessandroverdi@outlook.com,+393587996672,56,12,Si,,Voglio certificarmi,Si,Ho un cellulare android,"Non voglio spendere soldi, voglio tutto gratis!!!",5,1,5,-3
Andrea,Romano,andrearomano@yahoo.com,+393645467849,39,28,Si,,Voglio certificarmi,Si,Ho un cellulare iphone e pure un tablet o un ipad,47 euro,3,3,5,2
Sara,Esposito,saraesposito@yahoo.com,+393179061563,36,15,Si,,Voglio informazioni su chi è il match analyst e che lavoro fa,Si,Ho un cellulare android e pure un tablet o un ipad,"Non voglio spendere soldi, voglio tutto gratis!!!",3,1,5,-7
Martina,Romano,martinaromano@outlook.com,+393846273611,18,24,No,,Voglio certificarmi,No,Ho un cellulare iphone e pure un tablet o un ipad,97 euro,2,2,5,-10
Valentina,Ferrari,valentinaferrari@outlook.com,+393374895529,24,11,No,,Voglio certificarmi,No,Ho un cellulare android e pure un tablet o un ipad,"Non voglio spendere soldi, voglio tutto gratis!!!",3,3,4,0
Andrea,Bruno,andreabruno@outlook.com,+393727240356,43,30,Si,,Voglio specializzarmi,No,Ho un cellulare android e pure un tablet o un ipad,97 euro,3,2,4,-1
Luca,Bruno,lucabruno@outlook.com,+393461282251,33,28,Si,,Voglio certificarmi,No,Ho un cellulare iphone e pure un tablet o un ipad,47 euro,5,1,4,-2
Martina,Esposito,martinaesposito@yahoo.com,+393936258664,47,17,Si,,Voglio specializzarmi,No,Ho un cellulare android e pure un tablet o un ipad,"Non voglio spendere soldi, voglio tutto gratis!!!",5,1,5,-7
Alessandro,Bianchi,alessandrobianchi@outlook.com,+393058752849,40,12,No,,Voglio specializzarmi,Si,Ho un cellulare android e pure un tablet o un ipad,"Non voglio spendere soldi, voglio tutto gratis!!!",4,3,5,-8
Francesco,Esposito,francescoesposito@yahoo.com,+393387980517,23,13,No,,Voglio certificarmi,Si,Ho un cellulare iphone e pure un tablet o un ipad,"Non voglio spendere soldi, voglio tutto gratis!!!",4,1,5,-4
Luca,Romano,lucaromano@yahoo.com,+393990601787,56,22,No,,Voglio certificarmi,No,Ho un cellulare iphone e pure un tablet o un ipad,97 euro,5,1,5,-5
Sara,Marchetti,saramarchetti@yahoo.com,+393108553391,39,21,No,,Voglio informazioni su chi è il match analyst e che lavoro fa,No,Ho un cellulare iphone e pure un tablet o un ipad,97 euro,2,1,5,-10
Matteo,Colombo,matteocolombo@outlook.com,+393063070172,19,26,Si,,Voglio certificarmi,Si,Ho un cellulare iphone e pure un tablet o un ipad,47 euro,2,3,4,-3
Giulia,Santoro,giuliasantoro@outlook.com,+393658693382,35,25,No,,Voglio specializzarmi,No,Ho un cellulare android e pure un tablet o un ipad,10 euro,2,1,5,-9
Martina,Bruno,martinabruno@outlook.com,+393695795695,59,18,No,,Voglio informazioni su chi è il match analyst e che lavoro fa,No,Ho un cellulare android,47 euro,2,3,5,1
Matteo,Bianchi,matteobianchi@gmail.com,+393777538298,49,16,Si,,Voglio certificarmi,No,Ho un cellulare android e pure un tablet o un ipad,"Non voglio spendere soldi, voglio tutto gratis!!!",5,2,5,-4
Andrea,Marchetti,andreamarchetti@yahoo.com,+393157021994,54,27,Si,,Voglio specializzarmi,Si,Ho un cellulare android,47 euro,4,1,4,-4
Edoardo,Romano,edoardoromano@outlook.com,+393976037090,33,25,Si,,Voglio specializzarmi,Si,Ho un cellulare iphone e pure un tablet o un ipad,47 euro,5,3,4,-7
Matteo,Colombo,matteocolombo@yahoo.com,+393204470270,19,24,Si,,Voglio specializzarmi,No,Ho un cellulare android e pure un tablet o un ipad,10 euro,3,2,5,-6
Alessandro,Colombo,alessandrocolombo@yahoo.com,+393331075238,45,29,Si,,Voglio specializzarmi,Si,Ho un cellulare iphone e pure un tablet o un ipad,47 euro,4,1,4,-1
